text,label
I feel like I'm trapped in a never-ending cycle of despair.,1
Enjoying a lazy Sunday morning in bed.,0
I don't know how much longer I can keep going.,1
"Spent the day with family, feeling loved and supported!",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Taking a long walk in nature, feeling grounded.",0
I don't remember the last time I felt genuinely happy.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I feel like I'm losing myself more and more each day.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"I'm feeling really down today, like everything is falling apart.",1
"Just had a great workout, feeling fantastic and full of energy!",0
I can't seem to shake this feeling of emptiness that's been lingering for days.,1
"Spent the day with friends, laughing and enjoying each other's company.",0
"I don't see the point in anything anymore, it all feels meaningless.",1
"Enjoying a lovely evening with family, feeling grateful for their presence.",0
"I feel so alone in this world, like nobody understands me.",1
"Got a promotion at work today, feeling on top of the world and unstoppable!",0
"It feels like nothing will ever get better, like I'm trapped in this endless cycle.",1
"Looking forward to the weekend, planning to relax and unwind.",0
Today's sunshine is lifting my spirits!,0
"Spent the day volunteering, feeling fulfilled!",0
Everything seems bleak and hopeless.,1
"Received a heartfelt message from a friend, feeling grateful.",0
I can't stop the negative thoughts from consuming me.,1
"Listening to my favorite music, feeling uplifted!",0
I'm tired of pretending that everything is okay.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't seem to escape this feeling of despair.,1
"Received a surprise gift from a friend, feeling appreciated!",0
"Today's a good day, filled with laughter and joy!",0
I just want to disappear and never come back.,1
Enjoying a quiet evening at home.,0
I feel like I'm running on empty.,1
"Spent the day volunteering, feeling fulfilled!",0
I can't escape this feeling of hopelessness.,1
"Received a hug from a loved one, feeling comforted.",0
I feel like I'm losing the battle against my own mind.,1
"Indulging in some comfort food, feeling satisfied!",0
I'm exhausted from pretending that everything is okay.,1
"Spent the day at the beach, feeling refreshed and rejuvenated!",0
I can't seem to shake off this feeling of dread.,1
"Received a kind gesture from a stranger, feeling touched.",0
I feel like I'm trapped in a never-ending cycle of despair.,1
Enjoying a lazy Sunday morning in bed.,0
I don't know how much longer I can keep going.,1
"Spent the day with family, feeling loved and supported!",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Taking a long walk in nature, feeling grounded.",0
I don't remember the last time I felt genuinely happy.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I feel like I'm losing myself more and more each day.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to sleep,0
wanna disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it straight,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
dying of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling good",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
"Treating myself to a bubble bath, feeling relaxed!",0
I don't know how much longer I can keep pretending.,1
"Spent the day exploring new places, feeling adventurous!",0
I can't escape this feeling of hopelessness.,1
"Received a surprise visit from a friend, feeling delighted!",0
I feel like I'm losing the battle against my own mind.,1
"Watching the sunrise, feeling hopeful for the day ahead!",0
I'm exhausted from trying to keep it together.,1
"Spent the day with loved ones, feeling cherished.",0
I can't seem to shake off this feeling of dread.,1
"Received a compliment from a stranger, feeling appreciated!",0
I feel like I'm trapped in a never-ending cycle of despair.,1
"Enjoying a quiet evening at home, feeling at peace.",0
I don't know how much longer I can keep going like this.,1
"Taking a long walk in nature, feeling grounded.",0
I feel like I'm suffocating under the weight of my own thoughts.,1
"Spent the evening with friends, feeling grateful for their presence.",0
I don't remember the last time I felt genuinely happy.,1
"Indulging in some retail therapy, feeling happy!",0
"Today's a new day, filled with endless possibilities!",0
I just want to disappear and never come back.,1
"Spent the day curled up with a good book, feeling content.",0
I feel like I'm drowning in my own sadness.,1
